500	8	3
18	70	50	48	49	66	75	48	
59	6	72	75	60	56	46	13	
34	38	4	6	50	82	60	23	
54	35	11	37	38	50	44	77	
48	21	30	42	58	91	75	29	
37	6	68	72	50	22	18	45	
24	65	87	99	22	32	54	29	
45	39	76	1	12	10	3	64	
33	88	13	70	34	10	21	6	
44	72	14	85	3	60	95	3	
93	72	67	87	66	91	27	59	
64	50	53	25	99	25	92	35	
8	43	64	13	13	84	97	83	
38	2	91	40	19	44	25	27	
2	61	18	18	20	29	57	62	
42	43	88	55	50	31	97	23	
56	12	71	80	30	83	71	53	
27	52	6	95	94	61	25	39	
53	90	39	69	16	18	90	71	
60	58	46	67	5	65	69	43	
5	85	43	25	18	89	76	86	
62	37	84	47	22	7	81	48	
99	77	50	57	82	45	46	1	
44	88	14	71	9	78	33	94	
30	13	10	25	4	92	15	43	
44	32	75	22	92	85	58	45	
41	99	91	30	50	4	18	51	
67	89	3	14	98	31	87	62	
56	97	25	99	13	90	64	66	
19	74	51	82	93	10	87	7	
23	95	30	73	40	99	67	10	
50	76	44	73	12	90	99	16	
49	9	63	97	69	93	77	80	
82	55	3	27	7	5	74	95	
39	61	50	5	72	44	29	42	
58	22	90	65	78	35	11	6	
29	73	22	6	90	18	71	2	
72	30	45	85	14	3	93	52	
28	52	57	75	67	61	11	5	
9	60	20	38	28	53	32	71	
55	75	18	43	91	92	43	22	
78	11	16	25	93	46	95	11	
77	83	82	74	35	82	93	34	
59	83	26	74	86	41	51	32	
41	61	92	64	86	51	55	23	
33	70	70	44	20	85	1	82	
20	31	77	22	91	49	26	54	
20	43	31	92	79	5	22	95	
41	34	7	57	85	44	43	69	
18	39	92	79	64	84	99	67	
35	26	15	73	41	12	30	70	
43	51	75	43	23	60	72	52	
61	58	46	46	93	23	20	10	
62	10	80	97	93	10	59	46	
52	64	89	19	89	31	3	75	
32	78	21	13	36	33	5	76	
50	54	16	85	16	55	62	78	
39	32	61	4	74	43	13	86	
44	97	18	82	40	76	9	43	
34	53	54	21	32	55	87	27	
6	9	44	69	51	14	24	91	
71	15	79	35	68	72	68	40	
31	38	40	24	90	26	87	35	
45	67	80	24	20	72	68	48	
74	60	81	24	96	82	28	53	
27	28	2	63	34	97	8	43	
83	57	15	35	36	68	49	93	
6	68	29	11	9	38	60	67	
44	11	96	7	46	56	73	48	
22	1	20	94	28	25	82	14	
13	86	26	45	70	2	75	48	
7	64	49	4	2	14	52	97	
56	22	85	14	92	33	26	48	
18	19	43	71	1	73	14	58	
82	15	77	15	81	33	20	14	
81	24	15	63	99	71	4	34	
92	12	62	75	22	27	25	9	
26	31	6	66	5	66	96	64	
2	92	95	40	56	77	9	85	
16	73	20	78	1	92	44	60	
88	61	65	54	19	60	83	68	
99	44	63	91	83	44	3	6	
25	29	28	53	77	61	41	46	
38	97	80	78	99	67	78	39	
20	8	52	48	65	61	86	52	
45	25	92	88	82	48	66	40	
53	92	46	18	25	22	84	61	
24	44	33	25	88	96	81	22	
14	50	5	88	40	72	87	67	
8	95	91	37	41	34	2	10	
38	9	40	33	76	99	80	81	
96	18	40	10	57	88	1	41	
43	44	25	44	17	39	14	8	
88	43	81	50	94	67	89	41	
72	67	25	33	5	52	44	42	
27	82	81	67	88	62	54	17	
27	10	40	14	69	24	66	51	
30	13	6	73	80	21	86	44	
3	14	36	85	79	42	59	63	
33	62	60	59	65	46	33	51	
31	20	92	32	67	90	15	57	
22	5	28	89	26	76	19	13	
16	54	30	95	71	39	83	48	
76	40	4	83	68	77	97	32	
69	13	53	71	73	21	4	72	
2	84	35	13	61	27	83	30	
49	53	87	96	40	28	45	83	
69	59	58	75	72	4	86	32	
1	81	13	34	54	98	46	29	
54	74	35	95	9	73	52	56	
86	37	8	61	52	99	46	43	
69	20	92	2	50	80	3	5	
33	80	82	59	67	21	30	38	
9	54	58	20	91	28	66	42	
58	86	17	96	61	55	59	83	
81	86	99	62	73	73	26	91	
20	24	97	20	68	92	14	99	
46	66	56	7	26	10	42	19	
42	47	58	40	25	4	28	46	
56	76	89	93	6	57	5	18	
61	84	13	22	12	29	29	98	
89	11	4	9	28	49	63	3	
60	21	96	68	93	65	70	55	
92	70	99	69	13	17	63	92	
6	94	6	8	49	53	75	3	
12	47	96	13	12	83	88	96	
86	71	25	87	18	68	72	22	
35	10	84	90	54	46	93	9	
47	46	76	54	26	1	30	63	
30	94	52	43	83	63	48	86	
35	19	51	44	39	51	95	41	
76	91	25	98	87	47	64	45	
27	90	47	70	87	13	37	16	
11	32	9	53	49	45	42	41	
73	44	9	13	5	62	73	89	
55	74	21	65	68	33	9	63	
34	37	60	2	73	44	17	82	
65	96	29	36	12	97	46	16	
14	86	50	7	52	58	7	32	
58	75	92	1	45	26	38	10	
2	57	81	26	22	53	56	69	
54	85	96	16	70	94	3	48	
12	48	54	72	17	5	75	15	
17	73	86	46	67	57	34	17	
14	79	98	59	66	12	19	64	
83	56	15	53	23	25	33	63	
74	85	18	89	32	78	24	71	
11	3	68	79	79	65	50	97	
97	92	20	46	41	3	40	42	
7	24	13	41	62	82	23	67	
54	18	60	74	28	64	72	16	
67	59	26	9	23	4	12	54	
29	46	76	71	72	14	22	60	
21	65	39	6	76	71	36	53	
50	22	25	75	32	56	14	50	
59	98	68	83	37	29	14	69	
31	44	22	51	85	45	43	62	
75	13	62	14	54	7	3	96	
7	37	75	76	67	59	11	59	
7	35	29	80	55	11	27	13	
72	55	30	35	5	3	54	76	
63	63	77	60	79	12	28	58	
19	58	96	95	54	85	96	12	
75	43	59	16	13	28	91	35	
70	7	96	9	45	9	75	12	
26	67	98	77	32	19	90	84	
25	42	95	85	11	57	81	61	
82	54	36	37	37	67	20	76	
88	82	42	92	27	87	1	66	
47	40	62	30	90	69	36	3	
12	3	3	34	51	9	43	46	
86	62	56	27	54	25	95	56	
35	27	5	41	60	77	92	20	
66	52	25	19	29	17	88	28	
14	16	69	60	87	79	33	89	
95	20	40	4	88	8	76	82	
67	47	49	41	55	23	89	36	
60	37	70	77	18	21	38	57	
10	14	68	21	25	21	71	96	
64	36	27	18	57	32	90	44	
90	4	57	18	19	80	1	63	
60	85	96	76	27	53	48	75	
29	90	93	8	71	91	55	61	
94	82	80	58	78	22	38	16	
54	21	36	26	55	15	6	38	
38	46	30	18	21	91	54	47	
43	99	63	43	27	63	50	56	
33	90	86	42	66	12	89	58	
56	81	13	58	63	99	57	75	
19	29	16	40	62	25	68	27	
74	53	15	85	92	14	94	42	
77	48	50	26	30	46	89	13	
40	26	37	40	40	19	79	77	
68	4	21	14	7	53	65	47	
90	22	12	29	60	31	99	64	
68	5	1	99	77	77	53	10	
97	57	80	33	79	65	68	33	
4	1	36	47	14	83	99	29	
7	37	32	2	26	15	47	51	
93	68	88	83	14	67	70	60	
17	8	9	8	18	10	23	2	21	1	17	20	9	8	23	19	20	21	21	15	19	17	22	3	22	1	21	10	9	22	24	15	9	19	5	15	2	15	22	16	6	16	15	22	4	7	11	20	7	6	23	3	0	2	13	13	11	11	22	14	12	5	17	22	8	17	18	23	17	10	19	10	19	21	15	20	3	1	4	3	0	14	1	19	19	17	10	12	19	18	2	17	10	15	21	4	9	10	11	4	10	3	8	13	11	9	11	0	14	2	13	7	0	13	23	7	23	18	3	16	18	8	22	6	2	0	5	23	18	24	6	17	24	4	4	5	20	10	4	7	24	23	15	18	19	10	11	14	4	18	4	14	13	8	22	8	9	13	7	12	4	23	3	4	4	1	13	7	19	20	23	19	17	6	5	18	6	1	20	0	7	5	16	14	21	9	21	3	3	9	4	0	21	11	8	15	17	8	10	14	
