300	10	5
71	73	44	54	70	88	59	53	74	60	
96	24	42	34	46	10	66	77	63	87	
16	45	97	44	99	80	44	33	50	9	
77	47	34	77	17	19	18	49	1	57	
34	68	23	83	92	66	70	31	36	16	
61	87	22	39	5	57	18	49	61	93	
83	43	60	8	45	16	37	86	24	22	
32	26	16	60	41	28	1	88	45	47	
79	54	99	49	95	62	36	63	58	45	
34	84	23	53	20	23	41	59	68	37	
28	70	40	64	78	35	35	82	66	76	
16	98	54	92	54	22	70	82	67	13	
51	43	7	49	18	70	37	22	3	37	
99	81	65	61	87	63	29	48	11	8	
84	15	98	8	66	89	21	84	82	73	
47	34	78	79	47	65	14	37	65	24	
59	38	40	71	65	78	8	94	20	15	
93	96	48	1	85	81	67	63	22	52	
61	21	92	46	65	52	41	41	51	1	
30	25	86	11	18	86	58	11	8	17	
52	11	32	78	49	39	34	13	57	90	
98	74	31	19	96	48	84	14	99	24	
68	21	28	11	7	60	89	43	69	58	
63	76	71	72	98	15	72	42	78	78	
81	11	14	36	18	72	21	26	57	78	
53	93	2	67	27	50	89	55	28	93	
19	27	25	95	70	91	85	3	5	33	
24	37	33	19	54	52	43	94	5	47	
51	22	58	64	81	19	70	96	50	23	
29	22	28	38	12	89	92	24	7	74	
24	46	47	35	51	71	27	79	21	6	
51	66	79	76	86	85	41	62	67	86	
54	47	12	50	11	17	18	50	23	79	
99	95	9	24	97	3	24	83	61	1	
69	41	40	23	2	35	38	38	2	93	
4	40	10	71	16	29	82	98	10	63	
95	34	22	65	34	17	92	51	82	30	
9	41	96	40	24	37	27	48	32	39	
89	20	38	66	73	3	6	49	50	33	
23	88	93	17	53	19	70	87	27	82	
10	44	42	54	13	55	25	18	10	29	
8	43	24	56	94	54	51	4	63	33	
22	73	66	76	43	18	95	26	85	4	
63	76	31	18	57	29	22	44	36	54	
51	47	30	35	19	29	76	77	91	96	
94	37	1	85	19	61	20	91	74	87	
47	46	38	1	21	7	69	92	26	78	
26	24	99	33	82	35	91	70	54	96	
92	65	29	54	85	43	35	61	46	44	
34	44	16	4	61	7	1	22	18	1	
24	35	31	84	51	75	71	97	51	25	
71	55	98	50	15	10	76	30	39	76	
88	45	42	67	48	75	10	31	38	34	
64	48	11	5	63	82	46	24	27	12	
5	47	45	80	2	53	23	63	64	37	
25	94	65	24	88	61	3	68	36	91	
47	74	90	63	79	82	4	45	74	86	
99	3	55	96	62	85	39	35	49	11	
42	69	64	86	36	68	85	69	32	1	
64	95	90	34	1	8	20	78	6	85	
72	31	60	28	6	49	81	65	96	15	
7	81	96	37	94	7	12	26	65	65	
83	97	90	29	76	60	22	75	16	6	
96	3	22	84	3	78	52	82	36	3	
6	73	33	36	13	62	27	96	48	2	
81	59	6	96	78	67	59	65	1	98	
53	91	73	76	52	31	46	82	91	87	
27	62	46	47	88	76	72	74	46	78	
48	64	15	94	42	42	72	67	43	15	
9	43	12	71	6	74	41	19	25	99	
15	67	31	93	41	35	53	30	54	15	
8	60	62	36	62	50	30	87	79	70	
75	37	37	8	65	89	36	46	11	53	
2	27	9	28	93	32	65	95	30	68	
32	30	40	37	86	3	44	37	9	98	
83	5	52	19	98	25	91	99	76	27	
32	96	55	93	61	89	34	94	38	43	
42	89	78	81	41	83	64	10	3	5	
11	48	40	78	18	9	30	65	58	65	
12	36	21	74	92	63	54	79	43	85	
24	57	39	29	64	35	82	63	87	59	
5	33	69	20	74	89	60	11	90	29	
34	57	1	78	42	68	36	35	64	36	
84	90	39	69	87	57	52	69	6	20	
92	16	35	39	10	5	86	14	18	90	
56	54	83	61	70	40	7	22	36	43	
70	6	91	83	40	78	77	79	8	70	
29	86	62	99	1	71	56	5	46	19	
72	72	29	11	66	65	24	94	73	37	
58	53	44	45	70	19	36	35	22	31	
89	34	36	74	31	92	35	15	30	31	
95	50	54	40	34	7	42	72	31	97	
44	75	96	67	56	19	99	37	80	56	
54	86	55	67	87	84	74	37	87	89	
52	3	49	42	42	38	14	81	66	90	
39	92	72	57	63	23	73	3	30	62	
73	13	30	53	56	83	13	1	17	32	
33	49	35	51	92	10	59	68	38	8	
88	41	63	3	54	61	92	87	56	80	
82	6	63	38	29	72	43	7	14	90	
33	38	66	79	91	14	83	57	75	92	
92	95	58	52	93	40	38	30	42	69	
69	47	51	58	44	23	50	21	64	70	
68	5	37	73	7	2	31	41	51	68	
